"Date","Price","Open","High","Low","Vol.","Change %"
"04/07/2026","81.30","81.00","82.06","79.83","2.48M","-0.45%"
"04/06/2026","81.67","80.95","82.37","80.02","4.47M","0.86%"
"04/02/2026","80.97","77.21","81.00","77.06","5.65M","0.46%"
"04/01/2026","80.60","78.11","82.00","77.33","7.53M","4.74%"
"03/31/2026","76.95","74.00","77.00","73.56","7.25M","5.07%"
"03/30/2026","73.24","74.49","74.49","72.12","8.86M","-0.22%"
"03/27/2026","73.40","74.42","75.35","73.28","5.08M","-2.12%"
"03/26/2026","74.99","75.76","76.37","73.99","6.20M","-2.82%"
"03/25/2026","77.17","78.23","78.76","76.59","5.07M","1.62%"
"03/24/2026","75.94","77.00","77.01","74.28","4.56M","-1.84%"
"03/23/2026","77.36","75.13","77.98","74.01","9.04M","6.95%"
"03/20/2026","72.33","75.51","76.27","72.17","8.52M","-4.62%"
"03/19/2026","75.83","75.15","76.11","74.01","5.28M","-0.58%"
"03/18/2026","76.27","75.99","77.48","75.39","4.26M","-0.30%"
"03/17/2026","76.50","77.18","78.45","75.29","3.84M","-0.60%"
"03/16/2026","76.96","74.52","78.56","74.52","6.59M","4.20%"
"03/13/2026","73.86","75.24","75.80","73.41","7.09M","-1.16%"
"03/12/2026","74.73","82.91","83.54","74.62","9.85M","-11.01%"
"03/11/2026","83.98","83.69","85.32","83.09","4.55M","-0.74%"
"03/10/2026","84.61","83.35","86.75","81.55","6.04M","2.74%"
"03/09/2026","82.35","79.97","82.96","77.74","6.26M","2.76%"
"03/06/2026","80.14","87.53","87.60","80.14","20.42M","-8.05%"
"03/05/2026","87.16","92.20","92.30","86.82","5.91M","-5.71%"
"03/04/2026","92.44","92.27","92.74","91.01","2.76M","0.80%"
"03/03/2026","91.71","91.68","92.50","89.80","5.81M","-1.28%"
"03/02/2026","92.90","91.58","93.70","89.90","4.12M","0.52%"
"02/27/2026","92.42","93.45","93.45","91.84","4.49M","-2.06%"
"02/26/2026","94.36","93.04","94.36","91.28","3.19M","2.03%"
"02/25/2026","92.48","94.59","94.71","91.45","2.80M","-1.93%"
"02/24/2026","94.30","94.29","95.49","93.00","3.66M","0.81%"
"02/23/2026","93.54","96.00","96.00","93.33","3.78M","-2.27%"
"02/20/2026","95.71","94.95","96.70","93.08","4.57M","1.14%"
"02/19/2026","94.63","94.50","94.84","92.98","2.50M","0.32%"
"02/18/2026","94.33","94.74","95.37","93.73","4.68M","1.60%"
"02/13/2026","92.84","93.40","94.49","92.30","3.01M","-0.60%"
"02/12/2026","93.40","92.49","94.50","92.25","3.31M","0.03%"
"02/11/2026","93.37","94.94","94.95","92.50","4.02M","-0.60%"
"02/10/2026","93.93","94.22","94.65","93.10","1.88M","-0.09%"
"02/09/2026","94.01","92.80","94.34","91.77","2.94M","2.46%"
"02/06/2026","91.75","91.95","92.47","90.13","3.78M","-0.05%"
"02/05/2026","91.80","92.56","92.90","89.90","5.02M","-0.40%"
"02/04/2026","92.17","95.75","96.06","90.42","5.62M","-3.74%"
"02/03/2026","95.75","98.31","98.50","95.01","4.18M","-1.53%"
"02/02/2026","97.24","98.05","98.67","96.00","4.98M","0.30%"
"01/30/2026","96.95","97.38","97.90","96.03","4.30M","-0.42%"
"01/29/2026","97.36","100.55","100.88","96.92","4.08M","-2.42%"
"01/28/2026","99.77","104.50","104.79","97.53","7.19M","-3.53%"
"01/27/2026","103.42","103.59","105.50","103.14","4.63M","1.00%"
"01/26/2026","102.40","105.04","105.04","101.50","3.95M","-1.50%"
"01/23/2026","103.96","103.41","104.76","102.31","3.80M","0.97%"
"01/22/2026","102.96","100.11","103.56","100.11","5.77M","3.28%"
"01/21/2026","99.69","99.45","99.88","97.66","3.86M","1.10%"
"01/20/2026","98.61","99.05","99.68","98.21","2.68M","-0.72%"
"01/19/2026","99.33","99.60","100.29","98.94","1.77M","0.03%"
"01/16/2026","99.30","99.30","99.42","97.62","4.61M","0.33%"
"01/15/2026","98.97","97.40","99.22","96.11","4.01M","2.79%"
"01/14/2026","96.28","97.15","97.41","95.60","3.52M","-0.83%"
"01/13/2026","97.09","97.86","97.86","96.21","2.57M","-0.86%"
"01/12/2026","97.93","95.89","98.17","95.49","2.82M","2.17%"
"01/09/2026","95.85","95.07","96.01","94.36","2.03M","1.06%"
"01/08/2026","94.84","94.14","97.35","93.73","5.08M","0.99%"
"01/07/2026","93.91","93.61","95.45","92.65","3.24M","0.89%"
"01/06/2026","93.08","92.91","93.61","91.45","4.90M","0.20%"
"01/05/2026","92.89","89.01","92.99","89.01","5.42M","4.85%"
"01/02/2026","88.59","89.10","89.38","87.69","2.23M","-0.01%"